-382,1362,17025
233,1196,16992
510,1284,17379
1748,544,17338
3453,859,17084
4835,662,16552
6081,705,15564
7144,486,15852
8156,502,14649
9897,483,13636
9856,-135,11862
11188,215,11872
12713,543,11442
13422,-539,9320
15472,-743,8249
14927,-163,7607
15622,311,4852
16013,625,2551
16333,519,1231
16200,476,-681
13730,456,-3251
15371,1473,-3748
14700,1024,-6987
12733,805,-8908
11376,1433,-10769
8536,1493,-13288
6317,1614,-14769
3256,1130,-15383
1471,813,-15890
-1168,396,-15707
-3929,-154,-14832
-6650,-322,-14418
-10095,-1969,-13086
-11865,-2864,-10223
-13895,-2628,-7704
-14963,-3048,-4495
-16073,-3021,-2144
-15971,-3988,452
-16300,-3665,2977
-15767,-3385,5263
-15046,-3521,7576
-14149,-3045,9428
-12130,-1749,11576
-10325,-1280,13507
-7793,23,15718
-5110,-353,16529
-2214,-169,17061
-372,288,17088
445,338,17097
307,-336,17194
-190,-548,17065
104,-33,17035
531,-1104,17447
577,-1984,16497
625,-6870,15661
-646,-17564,7859
-1814,-13584,-6683
-1270,-5909,-14352
-1614,-2314,-15100
-1458,-512,-15601
-794,-291,-16740
795,-646,-15299
872,-856,-17063
2567,1340,-14544
5441,-15,-14629
8023,1064,-12699
9281,-283,-13339
11366,-475,-11093
12388,-412,-9700
13388,-392,-8153
14637,-1718,-5867
16001,-1570,-3460
16301,-2112,-1053
16345,-2789,434
15408,-3011,2276
15191,-2090,5183
15059,-1079,7102
13903,-1751,9328
12202,-2131,11091
9976,-1614,13720
7172,-777,15401
4810,-715,16695
1808,-32,17431
-1544,834,16813
-5232,1788,16351
-7847,3093,15237
-9034,3653,13161
-11889,4281,11506
-12196,3991,9311
-14764,4022,7044
-15324,3779,4657
-15010,3576,2429
-16640,3585,181
-14780,3494,-1926
-15167,2592,-4192
-14989,3883,-7839
-11998,3153,-9620
-11413,1585,-11189
-10091,859,-12236
-8553,950,-13543
-6181,465,-14217
-3244,876,-15792
-97,709,-15563
960,547,-15178
1816,88,-15771
1627,301,-15530
608,961,-15720
85,644,-15706
961,734,-15627
886,571,-15532
502,968,-15689
550,137,-15355
-312,2061,-15342
-52,3024,-15627
-44,4531,-15203
-43,9165,-13175
-357,14951,-6021
-548,15833,-215
-296,16601,519
-660,16577,950
-2396,16863,816
-929,17256,80
561,15829,1738
-175,15849,548
-294,16094,-480
1388,16468,435
2557,16039,801
2537,16164,2691
6436,14970,2559
8246,14122,1036
10372,11743,567
11230,10769,210
10879,11361,126
12502,9325,386
13627,9444,97
13922,7738,643
15001,6649,873
15660,4897,1608
16415,4384,1347
15991,2007,2192
16153,1401,754
16248,697,825
16207,681,80
15700,-3076,-442
15577,-5842,-460
14616,-6956,-888
13732,-8999,-633
12014,-11655,-616
9891,-12568,-1024
7661,-14927,-42
5352,-15446,-1
3171,-16145,883
1288,-16726,709
-1578,-16281,909
-5229,-15725,2170
-8091,-14854,4063
-10191,-13101,5213
-12396,-9864,5440
-14232,-7957,6589
-15192,-4962,5936
-16240,-2838,4523
-16524,-527,3692
-15702,2276,2900
-15237,4318,2418
-15224,6820,1959
-13269,9240,1811
-10434,11940,1587
-7397,14589,1790
-4084,15445,1886
-2175,15602,1619
-1390,16000,2081
1015,14738,2842
1409,15843,4108
1668,15539,3712
642,15889,2749
1691,15123,5481
1164,12440,10762
365,2869,17443
-2178,-20083,8056
-232,-15815,6799
-721,-15490,3613
-477,-16712,1714
-33,-18134,-2720
405,-15039,-455
-441,-15715,936
49,-16357,-273
1638,-17005,-680
4199,-15849,-2730
6353,-15359,-2004
8723,-13578,-2591
10001,-12955,-2798
10355,-11731,-2766
15514,-9488,-4147
14586,-7342,-2972
14965,-5983,-3088
15450,-3389,-1558
15635,-2082,-700
15536,100,173
15461,2597,487
15317,4733,-2108
15299,6211,60
14273,7790,534
13094,9408,368
11647,11493,1169
8963,12283,1229
6169,14675,1669
4067,15427,2190
1213,15509,2409
-2131,16442,1536
-5095,14822,1309
-8169,14420,938
-9957,11959,-25
-11683,10682,-798
-13526,8455,-1245
-14430,6183,-2464
-15231,4009,-2471
-15801,1521,-1839
-15450,-1389,-1586
-15377,-4179,-691
-15254,-5726,-44
-14844,-7360,385
-14181,-9756,715
-13077,-10250,1537
